remind,text:template,Remind Document
rhtml,text:source code,HTML with embedded Ruby
erbsql,text:source code,SQL with embedded Ruby
bashrc,text:source code:script,Shell Script
bash_profile,text:source code:script,Shell Script
bash_login,text:source code:script,Shell Script
profile,text:source code:script,Shell Script
bash_logout,text:source code:script,Shell Script
slate,text:source code,Slate Source
strings,text:data,Strings Document
textile,text:template,Textile Document
xhtml,text:source code,XHTML Document
vcard,text:data,Electronic Business Card
